i,address,end,name_i,newlines,name,string
0,0x12c19b,0x12c1d2,,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""10GT000@""]",,"There are <var>0
books. Read?

 Yes          No<ask>"
1,0x12c1d2,0x12c210,,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""10GR000@""]",,"Read ‘Blessings
of the Field'?

 Read       Next<ask>"
2,0x12c210,0x12c247,,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""10GR000@""]",,"Ch1:Tilling the
    Soil

 Read       Next<ask>"
3,0x12c247,0x12c35c,,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<waita>@""]",,"Use a hoe to
till the soil.
The hoe only
works on the
field or the
pasture land…
Pay attention to
the color of the
soil. Well, I'm
looking forward
to seeing a lot
of beautiful
flowers on your
farm!
Ch1:Tilling the
    Soil     END
 By Florist Nina
"
4,0x12c35c,0x12c381,,"[""\\n"", ""10GR000@""]",,"Ch2:Sowing
 Read       Next<ask>"
5,0x12c381,0x12c561,,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""<waita>@""]",,"One sack of
seeds covers a
3x3 square area
of tilled soil.
There are wild
animals that
eat planted
vegetables…
A scarecrow can
solve that
problem!
Vegetables and
flowers can be
grown only on
the field, and
the grass can be
grown only on
the pasture
land! Plus, you
need to use a
shovel to
prepare the soil
to grow rice.
Well, I'm
looking forward
to seeing a lot
of beautiful
flowers!
Ch2:Sowing
             END
 By Florist Nina"
6,0x12c561,0x12c588,,"[""\\n"", ""10GR000@""]",,"Ch3:Watering
 Read       Next<ask>"
7,0x12c588,0x12c680,,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<waita>@""]",,"Don't forget to
water the
vegetables and
the flowers
everyday. You
don't need to
water grass,
rice or wheat.
Well, I'm
looking forward
to seeing a lot
of beautiful
flowers!
Ch3:Watering
             END
 By Florist Nina"
8,0x12c680,0x12c6bb,,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""10GR000@""]",,"Read ‘Living
with Animals'?

 Read       Next<ask>"
9,0x12c6bb,0x12c6e1,,"[""\\n"", ""10GR000@""]",,"Ch1:Animals
 Read       Next<ask>"
10,0x12c6e1,0x12c7b3,,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<waita>@""]",,"Animals are
pretty tidy.
Brushing and
shampooing is
very important.
You can get a
lot of milk or
wool if you take
good care of
them.
Ch1:Animals
             END
By David at the
Animal Shop"
11,0x12c7b3,0x12c7d9,,"[""\\n"", ""10GR000@""]",,"Ch2:Feeding
 Read       Next<ask>"
12,0x12c7d9,0x12c917,,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<waita>@""]",,"You give fodder
to the animals,
but you need to
grow grass to
get it. Place
the fodder in
the feeding
stall of each
animal.
You must do this
everyday, otherー
wise the animals
might get sick.
Don't forget to
feed them once
a day!
Ch2:Feeding
             END
By David at the
Animal Shop"
13,0x12c917,0x12c942,,"[""\\n"", ""10GR000@""]",,"Ch3:Baby Animals
 Read       Next<ask>"
14,0x12c942,0x12cb41,,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<waita>@""]",,"If you want a
female animal to
have a baby, you
need to place a
male animal and
a female animal
in a certain
place in the
barn. Take
good care of the
female animal
for 30 days, and
she will have a
baby. You need
to work hard,
but it's worth
it. Oh, to hatch
an egg, place it
on the incubator
for 7 days. Do
not forget to
have both hens
and a rooster!
Eggs won't hatch
if you don't
have a rooster!
Ch3:Baby Animals
             END
By David at the
Animal Shop"
15,0x12cb41,0x12cb6d,,"[""\\n"", ""10GR000@""]",,"Read ‘Pioneers'?
 Read       Next<ask>"
