i,address,end,name_i,newlines,name,string,translation
0,0x1428d8,0x142902,15,"[""\\n"", ""<arrow>0<waita><clear>"", "" \\n"", ""<arrow>0<waita><clear>"", """"]",Lucus,"Hey, <player>.
Can you do me
a favor?

","Hey, <player>. Kannst du mir einen Gefallen tun?"
1,0x142902,0x14297b,15,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""10GT000@""]",Lucus,"I want to make
a big chest, but
I'm short of
materials. Can I
buy a log from
you?

 Yes          No<ask>","Ich will eine große Kiste bauen, aber mir ist das Nutzholz ausgegangen. Würdest du mir einen Holzklotz verkaufen?

 Ja          Nein<ask>"
2,0x14297b,0x1429b9,15,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<waita>@""]",Lucus,"Thanks. I'd
appreciate it if
you could bring
it today.","Danke! Es wäre toll, wenn du ihn mir heute noch vorbeibringen könntest."
3,0x1429b9,0x1429d9,15,"[""\\n"", ""<waita>@""]",Lucus,"It's alright.
You're busy…","Schon okay, bist schließlich beschäftigt..."
4,0x1429d9,0x142a16,15,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<waita>@""]",Lucus,"Oh, Thanks. Here
is 300G. Now I
can finish the
chest.","Hey, danke! Hier, 300G. Nun kann ich die Kiste fertigstellen."
5,0x142a16,0x142a57,15,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<waita>@""]",Lucus,"Did you bring
the log? Please
bring it as soon
as you can.","Hast du den Holzklotz dabei? Bitte bring ihn mir, sobald du Zeit dafür hast."
6,0x142a57,0x142bcf,16,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""<waita>@""]",Cozy,"Hi <player>. Good
timing. Can I
ask you a favor?
My business is
not doing well.
So, I need an
attractive fish
that catches
everyone's heart
and never let's
it go. Elder
told me that
there is a fish
called the
'King of Lake'.
Can you go catch
it and bring it
here by 6PM the
day after
tomorrow?
I've prepared a
tank especially
for that fish.","Hi, <player>. Du kommst gerade Recht! Kann ich dich um einen Gefallen bitten? Mein Geschäft läuft gerade nicht so gut, deshalb brauch ich einen gutaussehenden Fisch. Einen, der die Herzen im Sturm erobert! Der Älteste hat mir erzählt, dass es einen Fisch gibt, den man den ""Seekönig"" nennt. Würdest du ihn für mich fangen und bis übermorgen, 18:00 Uhr hier vorbeibringen? Ich habe bereits ein passendes Aquarium für ihn eingerichtet."
7,0x142bcf,0x142c45,16,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<waita>@""]",Cozy,"No King of Lake
yet? By 6PM the
day after
tomorrow, OK?
I won't put any
other fish in my
special tank.
","Kein Seekönig? Nicht schlimm! Du hast bis übermorgen, 18:00 Uhr Zeit. Für andere Fische ist kein Platz im Spezial-Aquarium."
8,0x142c45,0x142ca9,16,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<waita>@""]",Cozy,"No King of Lake
yet? By 6PM
tomorrow, OK?
I won't put any
other fish in my
special tank.","Kein Seekönig? Nicht schlimm! Du hast bis morgen, 18:00 Uhr Zeit. Für andere Fische ist kein Platz im Spezial-Aquarium."
9,0x142ca9,0x142d0a,16,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<waita>@""]",Cozy,"No King of Lake
yet? Today by
6PM, OK? I won't
put any other
fish in my
special tank.","Kein Seekönig? Nicht schlimm! Du hast noch bis 18:00 Uhr Zeit. Für andere Fische ist kein Platz im Spezial-Aquarium."
