i,address,end,name_i,newlines,name,string,translation
0,0xb90ea,0xb91a8,5,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""100G001@""]",Billy,"Hey, <player>.
How is the farm?
Did you like the
fishing rod I
gave you? You
must be busy on
the farm. Oh.
I have a gift
for you. Do you
want it?
<noname><name>0 Thanks!
 What is it?<ask>","Hey, <player>. Was macht die Farm? Angelst du auch fleißig?
Ach, bestimmt hast du mit der Farm alle Hände voll zu tun. Oh, bevor ich's vergesse: Ich habe ein Geschenk für dich. Willst du's haben?
<noname><name>0 Wie lieb! Was ist es denn?<ask>"
1,0xb91a8,0xb9253,5,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<waita>@""]",Billy,"It's from me and
Elza. I'll bring
a boat next to
the lighthouse.
We've been using
it, and I think
it will be very
useful for you.
Take good care
of it.","Elsa und ich möchten dir unser Boot vermachen. Wir haben keine Verwendung mehr dafür und glauben, dass es dir von Nutzen sein könnte. Ich bringe es zum Leuchtturm. Pass mir gut darauf auf!"
2,0xb9253,0xb9384,5,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""<waita>@""]",Billy,"Ha ha ha…
Don't be
surprised! It's
a boat from me
and Elza. I'll
bring it next to
the lighthouse.
Now you can go
fishing or go to
the mainland
anytime. It's
kind of an old
boat that we
used to use, but
we fixed it up
for you! Take
good care of it,
OK? It's all
yours!","Hahaha... Halt dich fest: Elsa und ich möchten dir unser Boot vermachen. Keine Sorge, ich bringe es für dich zum Leuchtturm. So kannst du angeln oder aufs Festland übersetzen, wann immer du willst. Das Boot ist schon etwas älter, aber wir haben es für dich auf Vordermann gebracht! Pass gut darauf auf, hörst du? Es gehört jetzt dir!"
3,0xb9384,0xb9407,5,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""100G001@""]",Billy,"Hey, <player>!
Can you do me a
favor? I'm
fixing a ship,
but my hammer
broke.
Can I borrow
yours?
<noname><name>0 Sure.
 No.<ask>","Hey, <player>! Kann ich dich um einen Gefallen bitten? Ich repariere gerade ein Schiff, aber mein Hammer ist kaputt gegangen. Dürfte ich mir deinen ausleihen?
<noname><name>0 Sicher doch.
 Nein.<ask>"
4,0xb9407,0xb942a,5,"[""\\n"", ""10GT000@""]",Billy,"Please?
 OK           No<ask>","Bitte?
 Na gut.           Nö.<ask>"
5,0xb942a,0xb944f,5,"[""\\n"", ""10GT000@""]",Billy,"…Please?!
 OK           No<ask>","…Bitte?!
 Na gut.           Nö!<ask>"
6,0xb944f,0xb947c,5,"[""\\n"", ""10GR000@""]",Billy,"Please, please?!
 OK         Nope<ask>","Bitte, bitte?!
 Na gut.        Nein...<ask>"
7,0xb947c,0xb94a9,5,"[""\\n"", ""10GR000@""]",Billy,"I'm begging you!
 OK         Nope<ask>","Ich flehe dich an!
 Na gut.         Nein!<ask>"
8,0xb94a9,0xb94d5,5,"[""\\n"", ""10GS000@""]",Billy,"Pleeeeeeeeeease?
 OK          NO!<ask>","Biiiiiitteeeeee?
 NA GUT!      NEIN!!<ask>"
9,0xb94d5,0xb94f4,5,"[""\\n"", ""<waita>@""]",Billy,"Oh, thanks!
I owe you one.","Die Firma dankt! Hast was gut bei mir."
