i,address,end,name_i,newlines,name,string,translation
0,0x1e73a1,0x1e73d8,0,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita>@""]",<player>,"It's been a few
months since we
got married.
","Es ist nun einige Monate her, dass wir geheiratet haben."
1,0x1e73d8,0x1e746b,1,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita>@""]",<partner>,"Hey <player>…
Happiness must
be what we have
now. Kind of
nice and warm…
Sweet feelings.
It's very light
and heavenly.
I feel so good.
","Hey, <player>... Spürst du auch diese wohlige Wärme? Es ist, als wäre ich im siebten Himmel. So muss sich wahres Glück anfühlen..."
2,0x1e746b,0x1e750c,0,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<waita>@""]",<player>,"We don't know
what my Dad
really dreamed
of, but it's OK.
We have our own
dreams. Our own
Harvest Moon has
just begun…
<noname>Harvest Moon 3
The End","Wir wissen nicht, was sich mein Vater erträumt hat, aber das ist in Ordnung. Wir haben unsere eigenen Träume. Unsere eigene Farm-Geschichte hat gerade erst begonnen...
<noname> Harvest Moon 3
- Ende -"
3,0x1e750c,0x1e7623,1,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""10GT000@""]",<partner>,"Yes! <player>!
We have made my
Dad's dream come
true!! I didn't
think I could
accomplish it
so fast… It's
all thanks to
you, <player>.
I couldn't have
done it alone.
Thanks <player> ♥
… … … …
<player>? I want you
to stay here
with me forever.
Please?
 Yes          No<ask>","Wir haben es geschafft, <player>! Wir haben den Traum meines Vaters wahr werden lassen!! Ich hätte nicht gedacht, dass ich ihn so schnell verwirklich kann... Das hab ich allein dir zu verdanken, <player>. Ohne dich hätte ich es nicht geschaft. Danke, <player>. ♥ ... ... ... ... <player>? Ich will, dass du für immer bei mir bleibst.
Tust du das?
 Ja          Nein<ask>"
4,0x1e7623,0x1e7755,1,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""10GT000@""]",<partner>,"Cool! <player>!!
You did it!! I
thougt it was
too tough for
you… But, you
did it and very
quickly too!
It's all because
you believed in
yourself.
You are amazing.
Congratulations.
…<player>?
Can I stay here
with you…
forever…?
I want to keep
working on your
farm!
 Yes          No<ask>","Du hast es geschafft, <player>!! Anfänglich dachte ich, du wärst der Aufgabe nicht gewachsen... Aber du hast es tatsächlich vollbracht, und das in erstaunlich kurzer Zeit! Und das alles, weil du an dich gegalubt hast. Beeindruckend!
...<player>? Kann ich... für immer bei dir bleiben? Ich möchte weiterhin auf deiner Farm arbeiten!
 Ja         Nein<ask>"
5,0x1e7755,0x1e77fe,1,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita>@""]",<partner>,"… … … …
It was close…
…Uh, I had a
lot of fun
working with
you. It's all
because of me…
I'm sorry. It's
too bad
that we have to
sell this farm.
","... ... ... ...
Fast hätten wir es geschaft...
...Die Arbeit mit dir hat mir sehr viel Spaß gemacht.
Es ist alles meine Schuld... Tut mir leid. Ein Jammer, dass wir die Farm verkaufen müssen."
6,0x1e77fe,0x1e7889,,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<waita>@""]",,"Soon after that,
<player> left the
island. <player>
went to the farm
in Flower
Bud Village and
lived there
quietly…
Harvest Moon 3
The End","Kurz darauf verließ <player> die Insel und setzte sich auf seiner Farm im Knospendorf zur Ruhe...
Harvest Moon 3
- Ende -"
7,0x1e7889,0x1e7924,1,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita>@""]",<partner>,"… … … …
It was close…
…Uh, I had a
good time
working with
you <player>.
It was my fault.
It's too bad
you have to sell
this farm,
right…?
","... ... ... ...
Fast hätten wir es geschaft...
...Die Arbeit mit dir hat mir viel Freude bereitet, <player>.
Das ist meine Schuld. Tut mir leid, dass du die Farm meinetwegen verkaufen musst..."
8,0x1e7924,0x1e79a6,,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<waita>@""]",,"Soon after that,
<player> left the
island. <player>
went back to his
farm and
returned to
his life there.

Harvest Moon 3
The End","Kurz darauf verließ <player> die Insel und kehrte in sein altes Leben auf seiner Farm im Knospendorf zurück...
Harvest Moon 3
- Ende -"
9,0x1e79a6,0x1e79e7,1,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""<waita>@""]",<partner>,"Yeah! I'm so
happy…
Thank you <player>.
I love you,
Darling♥","Ja! Ich bin so glücklich...
Danke, <player>.
Ich liebe dich, Schatz. ♥"
