i,address,end,name_i,newlines,name,string,translation
0,0x141884,0x1418c0,,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""10GT000@""]",,"A cow is
5000G.
Do you want it?
 Yes          No<ask>","Eine Kuh kostet
5000G.
Willst du eine kaufen?
 Ja        Nein<ask>"
1,0x1418c0,0x141900,,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""10GT000@""]",,"A chicken is
1000G.
Do you want it?
 Yes          No<ask>","Ein Huhn kostet
1000G.
Willst du eins kaufen?
 Ja        Nein<ask>"
2,0x141900,0x14193e,,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""10GT000@""]",,"A sheep is
3000G.
Do you want it?
 Yes          No<ask>","Ein Schaf kostet
3000G.
Willst du eins kaufen?
 Ja        Nein<ask>"
3,0x14193e,0x14197c,,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""10GT000@""]",,"A horse is
4000G.
Do you want it?
 Yes          No<ask>","Ein Pferd kostet
4000G.
Willst du eins kaufen?
 Ja        Nein<ask>"
4,0x14197c,0x141995,,"[""\\n"", ""<waita>@""]",,"Sell a cow?
Choose one.","Eine Kuh verkaufen?
Wähle aus, welche."
5,0x141995,0x1419b2,,"[""\\n"", ""<waita>@""]",,"Sell a chicken?
Choose one.","Ein Huhn verkaufen?
Wähle aus, welches."
6,0x1419b2,0x1419cd,,"[""\\n"", ""<waita>@""]",,"Sell a sheep?
Choose one.","Ein Schaf verkaufen?
Wähle aus, welches."
7,0x1419cd,0x1419e8,,"[""\\n"", ""<waita>@""]",,"Sell a horse?
Choose one.","Ein Pferd verkaufen?
Wähle aus, welches."
8,0x1419e8,0x1419f9,,"[""<waita>@""]",,"Give it a name.","Gib dem Tier einen Namen."
9,0x1419f9,0x141a10,,"[""\\n"", ""<waita>@""]",,"Nice name.
Take care.","Ein schöner Name!
Vielen Dank für den Einkauf."
10,0x141a10,0x141a34,,"[""\\n"", ""10GT000@""]",,"Is <var>0G OK?
 Yes          No<ask>","Ich kaufe es für <var>0G, OK?
 Ja        Nein<ask>"
11,0x141a34,0x141a52,,"[""\\n"", ""<waita>@""]",,"You can't sell
this animal.","Du kannst dieses Tier nicht verkaufen."
12,0x141a52,0x141abb,,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""10GT000@""]",,"A fodder set. It
contains 32
fodder pieces
and it's <var>0G.
Do you want it?
 Yes          No<ask>","Ein Futterset. Es enthält 32 Futterballen und kostet <var>0G.
Willst du's kaufen?
 Ja          Nein<ask>"
