i,address,end,name_i,newlines,name,string
0,0x10c659,0x10c668,,"[""\\n"", ""<waita>@""]",,"Caught a
<var>0!!"
1,0x10c668,0x10c688,,"[""\\n"", ""<waita>@""]",,"No space in my
bag. Let it go!"
2,0x10c688,0x10c6a6,,"[""\\n"", ""<waita>@""]",,"<var>0Year <var>4<var>C
       <var>G <var>O <var>KM"
3,0x10c6a6,0x10c6e9,0,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<waita>@""]",,"I can call the
Farmers' Union
to arrange a
shipment at 6PM."
4,0x10c6e9,0x10c72d,0,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<waita>@""]",,"I can call the
 Farmers' Union
to arrange a
shipment at 6PM."
5,0x10c72d,0x10c766,0,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""10GT000@""]",,"Call the
Farmers' Union?

 Yes          No<ask>"
6,0x10c766,0x10c7a7,0,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<waita>@""]",,"What is that in
the fireplace?
1000G secret
savings! Yeah!"
7,0x10c7a7,0x10c7c8,0,"[""\\n"", ""<waita>@""]",,"In the soot…?
Nothing. Ha ha."
8,0x10c7c8,0x10c7e9,0,"[""\\n"", ""<waita>@""]",,"Be careful when
you use fire!"
9,0x10c7e9,0x10c81f,0,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<waita>@""]",,"A secret savings
in the drawer?
Of course not.
"
10,0x10c81f,0x10c853,0,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<waita>@""]",,"<var>0's secret
savings might be
in here… Nope.
"
11,0x10c853,0x10c895,0,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<waita>@""]",,"A machine that
makes fertilizer
from vegetables
and fruits."
12,0x10c895,0x10c8eb,,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""100G001@""]",,"<noname>Hello this is
Farmers' Union.
How may I help
you?
 Shipment
 P/T Job<ask>"
13,0x10c8eb,0x10c948,,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<waita>@""]",,"We'll pick them
up right away
and deposit the
money at 6PM.
Thank you for
your call."
14,0x10c948,0x10c968,,"[""\\n"", ""<waita>@""]",,"There is no work
at this time."
15,0x10c968,0x10c98b,,"[""\\n"", ""10GP000@""]",,"P/T job…
 Done     Cancel<ask>"
16,0x10c98b,0x10c9a2,,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<waita>@""]",,"We ordered

<var>O
<var>0."
17,0x10c9a2,0x10ca1a,,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<waita>@""]",,"Your work has
been confirmed.
Bonus G will be
added by the
client…
<var>0G will be
deposited into
your account.<arrow>0"
18,0x10ca1a,0x10ca5d,,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<waita>@""]",,"You need <var>0
more to complete
your work. Thank
you for calling."
19,0x10ca5d,0x10ca86,,"[""\\n"", ""10GT000@""]",,"Cancel the job?
 Yes          No<ask>"
20,0x10ca86,0x10caa2,,"[""\\n"", ""<waita>@""]",,"The job has been
canceled."
21,0x10caa2,0x10cad2,,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<waita>@""]",,"We're looking
forward to your
call again.
"
22,0x10cad2,0x10cb25,,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<waita>@""]",,"No shipment was
made this time.
We're looking
forward to your
call again.
"
23,0x10cb25,0x10cb61,,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<waita>@""]",,"Currently we are
closed. Please
try calling back
later."
24,0x10cb61,0x10cb96,28,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<waita>@""]",,"Tomorrow will be
a warm and sunny
Spring day.
"
25,0x10cb96,0x10cbc7,28,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<waita>@""]",,"It will rain
throughout the
day tomorrow.
"
26,0x10cbc7,0x10cbff,28,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<waita>@""]",,"It'll be a clear
and sunny Summer
day tomorrow.
"
27,0x10cbff,0x10cc2d,28,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<waita>@""]",,"It will rain
heavily all day
tomorrow.
"
28,0x10cc2d,0x10cc4f,28,"[""\\n"", ""<waita>@""]",,"A hurricane is
approaching us."
29,0x10cc4f,0x10cc7e,28,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<waita>@""]",,"We will have
clear blue skies
tomorrow.
"
30,0x10cc7e,0x10ccaf,28,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<waita>@""]",,"It will rain
throughout the
day tomorrow.
"
31,0x10ccaf,0x10cce4,28,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<waita>@""]",,"It'll be clear
and relatively
warm tomorrow.
"
32,0x10cce4,0x10cd06,28,"[""\\n"", ""<waita>@""]",,"It will snow all
day tomorrow."
33,0x10cd06,0x10cd39,28,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<waita>@""]",,"We are expecting
a big snow storm
tomorrow.
"
34,0x10cd39,0x10cd5c,,"[""\\n"", ""<waita>@""]",,"…………………………………………
…………………………………………"
35,0x10cd5c,0x10cd94,0,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<waita>@""]",,"Wow! Look! We
can't go out
in weather
like this…"
36,0x10cd94,0x10cdce,0,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<waita>@""]",,"Oh my! Look!
We can't go out
in weather
like this…"
37,0x10cdce,0x10cdf1,1,"[""\\n"", ""<waita>@""]",,"We can't work
in this weather."
38,0x10cdf1,0x10ce12,1,"[""\\n"", ""<waita>@""]",,"I guess we can't
work today…"
39,0x10ce12,0x10ce3d,1,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<waita>@""]",,"Don't go out.
A typhoon is
coming.
"
40,0x10ce3d,0x10ce58,28,"[""\\n"", ""<waita>@""]",,"Caution!
Typhoon alert!"
41,0x10ce58,0x10cee9,1,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", "" \\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<waita>@""]",,"You didn't do
anything to the
hot spring at
night, did you?
Huh, it's very
strange… The
hot spring's
been completed
…Hmmm…
"
42,0x10cee9,0x10cf62,1,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<waita>@""]",,"Did you do
anything to the
hot spring? No?
Hmmm… Did you
notice the hot
spring's been
completed?
How weird."
43,0x10cf62,0x10cf7f,0,"[""\\n"", ""<waita>@""]",,"Oh..,??? An
egg hatched…"
44,0x10cf7f,0x10cfe4,1,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<waita>@""]",,"How cute! He
thinks you're
his mom… Oh!
Why don't we
name him ‘Pak'?!
Yes! He's a Pak!"
45,0x10cfe4,0x10d05b,1,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", "" \\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<waita>@""]",,"How funny! He
thinks you're
his mom… Oh!
I have a good
idea! Let's
name him 'Pak'!
Yes! He's a Pak!
"
46,0x10d05b,0x10d09e,0,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<waita>@""]",,"This…is a
glacier that
never melts…
Cool. I'll take
it.
"
47,0x10d09e,0x10d0e1,0,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<waita>@""]",,"This…is a
glacier that
never melts…
Good. I'll take
it.
"
48,0x10d0e1,0x10d14d,1,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<waita>@""]",,"Oh <player>.
Lucus came by
yesterday and
said he's done
converting the
storage… What
does that mean?
"
49,0x10d14d,0x10d1ba,1,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<waita>@""]",,"Hey <player>.
Lucus came by
yesterday and
said he's done
converting the
storage… What
does that mean?
"
50,0x10d1ba,0x10d2dd,1,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""10GT000@""]",,"Listen <player>.
I saw a garbage
disposal on the
TV Shopping
Channel
yesterday. We
can use rotten
fruits and
vegetables to
make fertilizer,
which makes
crops grow twice
as fast as now.
It's on sale for
only 49800G!!
Can I please buy
it? Please?
 Yes          No<ask>"
51,0x10d2dd,0x10d321,1,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<waita>@""]",,"Yes! I'll order
it right away.
We'll have it in
three days."
52,0x10d321,0x10d382,1,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""10GT000@""]",,"No? It's really
a good deal! Are
you sure you
don't want it?

 Yes          No<ask>"
53,0x10d382,0x10d3a1,1,"[""\\n"", ""<waita>@""]",,"OK. Ahhh…It's
a good deal…"
54,0x10d3a1,0x10d4b6,1,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""10GT000@""]",,"Listen <player>.
I saw a garbage
disposal on the
TV Shopping
Channel
yesterday. We
can use rotten
fruits and
vegetables to
make fertilizer,
which makes
crops grow twice
as fast as now.
It's on sale for
only 49800G!!
Can I buy it?

 Yes          No<ask>"
