i,address,end,name_i,newlines,name,string
0,0x1e4de5,0x1e4e23,,"[""\\n"", ""<fc>\u3065<clear>"", ""\\n"", ""@""]",,"<noname>Deep inside of
the ocean… We
are born and
grow up there.<fc><f0>"
1,0x1e4e23,0x1e4ebe,,"[""\\n"", ""<fc><f0><clear>"", ""\\n"", ""<fc><f0><clear>"", ""\\n"", ""<fc><f0><clear>"", ""\\n"", ""<fc><f0><clear>"", ""\\n"", ""<fc>\u3065@""]",,"<noname>I'm a Blue
Maomao. My name
is Blue because
my body is
blue. I have a
good friend, she
is very shy. Her
name is Pink
because her body
is pink."
2,0x1e4ebe,0x1e4f37,29,"[""\\n"", ""<fc><f0><clear>"", ""\\n"", ""<fc><f0><clear>"", ""<fc>\u3065<clear>"", ""\\n"", ""<fc><f0><clear>"", ""\\n"", ""@""]",,"Hey Pink.
I found some
good seaweed.
Let's eat it
together.
<name>UWow! Thanks!

<name>TYou can have
this one, Pink.<fc><f0>"
3,0x1e4f37,0x1e513a,,"[""<fc>\u3065<clear>"", ""<fc>\u3065<clear>"", ""\\n"", ""<fc><f0><clear>"", ""\\n"", ""<fc><f0><clear>"", ""\\n"", ""<fc><f0><clear>"", ""\\n"", ""<fc><f0><clear>"", ""\\n"", ""<fc><f0><clear>"", ""\\n"", ""<fc><f0><clear>"", ""\\n"", ""<fc><f0><clear>"", ""\\n"", ""<fc><f0><clear>"", ""\\n"", ""<fc><f0><clear>"", ""\\n"", ""<fc><f0><clear>"", ""\\n"", ""<fc><f0><clear>"", ""\\n"", ""<fc><f0><clear>"", ""\\n"", ""<fc><f0><clear>"", ""\\n"", ""<fc><f0><clear>"", ""\\n"", ""<fc><f0><clear>"", ""\\n"", "" <fc><f0><clear>"", ""\\n"", ""<fc><f0><clear>"", ""\\n"", ""<fc>\u3065@""]",,"<noname>…Chomp, chomp.
Mmmm… Good!
<name>TPink? Why do you
think our body
colors are
different even
though we are
eating the same
food?

<name>UI don't know
why…
<name>TI heard sun
tanning changes
our body color.
Why don't we try
it and surprise
everyone?
<name>UInteresting!
I want to be
green.

<name>TThere is a
shallow spot
where strong
sun light
reaches 10 yards
north of here.
They said that
the spot is very
dangerous, but
I think we can
get tanned if we
go there. Let's
go!

<name>UOK! Let's go.
"
4,0x1e513a,0x1e51a3,,"[""\\n"", ""<fc><f0><clear>"", ""\\n"", ""<fc><f0><clear>"", ""\\n"", ""<fc><f0><clear>"", ""\\n"", ""<fc>\u3065@""]",,"<noname>On the way to
the shallows.
<name>UWe've come
pretty far. Are
we there yet?

<name>TWe are almost
there."
5,0x1e51a3,0x1e5209,,"[""\\n"", ""<fc><f0><clear>"", ""\\n"", "" <fc><f0><clear>"", ""\\n"", ""<fc><f0><clear>"", ""\\n"", ""@""]",,"<noname>A shark sneaks
up to them.
<name>UHey Blue!
Something is
coming toward
us!
<name>T…I know…
Ignore it.<fc><f0>"
6,0x1e5209,0x1e522e,31,"[""\\n"", ""<fc>\u30e9@""]",,"Hey kids! There
is a shark! Run!"
7,0x1e522e,0x1e528f,,"[""\\n"", ""<fc>\u30e9<clear>"", ""\\n"", ""<fc>\u30e9<clear>"", ""\\n"", ""<fc>\u30e9<clear>"", ""\\n"", ""<fc>\u30e9@""]",,"<noname>Blue and Pink
are swimming as
fast as they
can, but the
shark is
catching up to
them.
"
8,0x1e528f,0x1e52fc,,"[""\\n"", ""<fc>\u30e9<clear>"", ""\\n"", ""<fc>\u3065<clear>"", ""\\n"", ""<fc><f0><clear>"", ""\\n"", ""<fc>\u30e9@""]",,"<noname>Brown approaches
the shark to try
and rescue
them… Oh No!
The shark
turned around
and caught
Brown!"
9,0x1e52fc,0x1e5361,,"[""\\n"", ""<fc><f0><clear>"", ""\\n"", ""<fc><f0><clear>"", ""\\n"", ""<fc><f0><clear>"", ""\\n"", ""@""]",,"<noname>Blue and Pink
are swimming
away crying…
They hear the
sound of the
shark swallowing
Brown…
<fc><f0>"
10,0x1e5361,0x1e5412,,"[""\\n"", ""<fc>\u30e9<clear>"", ""\\n"", ""<fc>\u30e9<clear>"", ""\\n"", ""<fc>\u30e9<clear>"", ""\\n"", ""<fc>\u30e9<clear>"", ""\\n"", ""<fc>\u30e9<clear>"", ""\\n"", ""<fc>\u30e9@""]",,"<noname>Blue and Pink
had a life
threatening
experience.
Pink looks pale
because she is
pink, and you
can't really
tell if blue is
pale because he
is blue to begin
with…"
11,0x1e5412,0x1e56d7,30,"[""\\n"", ""<fc>\u30e9<clear>"", ""\\n"", ""<fc>\u30e9<clear>"", ""\\n"", ""<fc>\u30e9<clear>"", ""\\n"", ""<fc>\u30e9<clear>"", ""\\n"", ""<fc>\u30e9<clear>"", ""\\n"", ""<fc>\u30e9<clear>"", ""\\n"", ""<fc>\u30e9<clear>"", ""\\n"", ""<fc>\u30e9<clear>"", ""\\n"", ""<fc>\u30e9<clear>"", ""\\n"", ""<fc>\u30e9<clear>"", ""\\n"", ""<fc>\u30e9<clear>"", ""\\n"", ""<fc>\u30e9<clear>"", ""\\n"", ""<fc>\u30e9<clear>"", "" \\n"", ""<fc>\u30e9<clear>"", ""\\n"", ""<fc>\u30e9<clear>"", ""\\n"", ""<fc>\u30e9<clear>"", ""\\n"", ""<fc>\u30e9<clear>"", ""\\n"", ""<fc>\u30e9<clear>"", ""\\n"", ""<fc>\u30e9<clear>"", ""\\n"", ""<fc>\u30e9<clear>"", ""\\n"", ""<fc>\u30e9<clear>"", ""\\n"", ""<fc>\u30e9<clear>"", ""\\n"", ""<fc>\u30e9<clear>"", ""\\n"", ""<fc>\u30e9<clear>"", ""\\n"", ""<fc>\u30e9<clear>"", ""\\n"", ""@""]",,"…Blue? What
happened to
Uncle Brown? Did
he get eaten by
the shark? Are
we safe here?
<name>TBrown was
attacked because
of us! Darn! The
shark was
watching us
swim away.
He will come
here soon.
…Darn.

<name>UThen let's go
hide somewhere
safe!

<name>TNo use! There is
no place sharks
can't go! …
… … … …
Pink? Do you
know a place
called the
'LAND' which is
above the sea?

<name>UI've heard of it
before, but fish
can't live on
the land…
<name>TGrandpa told me
that there is a
place where many
fish live safely
on the land.

<name>UHow can we get
there?
<name>UGet caught by a
fisherman! It
might hurt a
little, but it's
worth the pain.

<name>UOh, OK! I'm
scared, but I'll
try!
<fc><f0>"
12,0x1e56d7,0x1e5718,,"[""\\n"", ""<fc>\u30e9<clear>"", ""\\n"", ""@""]",,"<noname>Blue and Pink
were caught by
a farmer on the
little island.<fc><f0>"
13,0x1e5718,0x1e573f,,"[""\\n"", ""<fc>\u30e9<clear>"", ""\\n"", ""@""]",,"<noname>They safely
got to the
aquarium.
<fc><f0>"
14,0x1e573f,0x1e5778,,"[""\\n"", ""<fc>\u30e9<clear>"", ""\\n"", ""<fc>\u3065@""]",,"<noname>Now they've
become very
popular in the
aquarium.<fc><f0>"
