i,address,end,name_i,newlines,name,string
0,0x10ce58,0x10cee9,1,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", "" \\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<waita>@""]",<partner>,"You didn't do
anything to the
hot spring at
night, did you?
Huh, it's very
strange… The
hot spring's
been completed
…Hmmm…
"
1,0x10cee9,0x10cf62,1,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<waita>@""]",<partner>,"Did you do
anything to the
hot spring? No?
Hmmm… Did you
notice the hot
spring's been
completed?
How weird."
2,0x10cf62,0x10cf7f,0,"[""\\n"", ""<waita>@""]",<player>,"Oh..,??? An
egg hatched…"
3,0x10cf7f,0x10cfe4,1,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<waita>@""]",<partner>,"How cute! He
thinks you're
his mom… Oh!
Why don't we
name him ‘Pak'?!
Yes! He's a Pak!"
4,0x10cfe4,0x10d05b,1,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", "" \\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<waita>@""]",<partner>,"How funny! He
thinks you're
his mom… Oh!
I have a good
idea! Let's
name him 'Pak'!
Yes! He's a Pak!
"
5,0x10d05b,0x10d09e,0,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<waita>@""]",<player>,"This…is a
glacier that
never melts…
Cool. I'll take
it.
"
6,0x10d09e,0x10d0e1,0,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<waita>@""]",<player>,"This…is a
glacier that
never melts…
Good. I'll take
it.
"
7,0x10d0e1,0x10d14d,1,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<waita>@""]",<partner>,"Oh <player>.
Lucus came by
yesterday and
said he's done
converting the
storage… What
does that mean?
"
8,0x10d14d,0x10d1ba,1,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<waita>@""]",<partner>,"Hey <player>.
Lucus came by
yesterday and
said he's done
converting the
storage… What
does that mean?
"
9,0x10d1ba,0x10d2dd,1,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""10GT000@""]",<partner>,"Listen <player>.
I saw a garbage
disposal on the
TV Shopping
Channel
yesterday. We
can use rotten
fruits and
vegetables to
make fertilizer,
which makes
crops grow twice
as fast as now.
It's on sale for
only 49800G!!
Can I please buy
it? Please?
 Yes          No<ask>"
10,0x10d2dd,0x10d321,1,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<waita>@""]",<partner>,"Yes! I'll order
it right away.
We'll have it in
three days."
11,0x10d321,0x10d382,1,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""10GT000@""]",<partner>,"No? It's really
a good deal! Are
you sure you
don't want it?

 Yes          No<ask>"
12,0x10d382,0x10d3a1,1,"[""\\n"", ""<waita>@""]",<partner>,"OK. Ahhh…It's
a good deal…"
13,0x10d3a1,0x10d4b6,1,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""10GT000@""]",<partner>,"Listen <player>.
I saw a garbage
disposal on the
TV Shopping
Channel
yesterday. We
can use rotten
fruits and
vegetables to
make fertilizer,
which makes
crops grow twice
as fast as now.
It's on sale for
only 49800G!!
Can I buy it?

 Yes          No<ask>"
14,0x10d4b6,0x10d505,1,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<waita>@""]",<partner>,"Alright! I'll
order it right
away. It should
be here in three
days.
"
15,0x10d505,0x10d54d,1,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""10GT000@""]",<partner>,"No? Why? It's
really cool…
Are you sure?
 Yes          No<ask>"
16,0x10d54d,0x10d578,1,"[""\\n"", "" <arrow>0<waita><clear>"", ""\\n"", ""<waita>@""]",<partner>,"I guess you
really don't
want it…
"
17,0x10d578,0x10d692,1,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", "" \\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""100G001@""]",<partner>,"<player>…
I was thinking
maybe we should
set a goal to
make Harry's
dream come true.
Why don't we try
to keep three of
each animal and
ship more than
300 crops to the
Farmers' Union
by the end of
next Winter?
Is it too hard?

<noname><name>0 Let's try!
 No way.<ask>"
18,0x10d692,0x10d6f9,1,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<waita>@""]",<partner>,"OK <player>!
You're one true
farm owner.
I'll work as
hard as I can,
so give me lots
of work!
"
19,0x10d6f9,0x10d763,1,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""100G001@""]",<partner>,"Really? I like
setting goals
a little high.
<player>…let's try
it!

<noname><name>0 OK… I will.
 No way.<ask>"
20,0x10d763,0x10d7f7,1,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<waita>@""]",<partner>,"Dreams can come
true if you try
with all your
heart. It's just
a quote from a
book I read a
long time ago.
I'm counting
on you <player>.
"
21,0x10d7f7,0x10d844,1,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<waita>@""]",<partner>,"Why can't you
try…? Forget
it. You are the
owner. I'm going
out.
"
22,0x10d844,0x10d885,1,"[""\\n"", "" <arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<waita>@""]",<partner>,"<player>
What date is it
today? <var>C of
<var>4? It's my
birthday.
"
23,0x10d885,0x10d8b5,1,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<waita>@""]",<partner>,"Is this a
birthday gift?
Thanks <player>!
Yippy!"
24,0x10d8b5,0x10d90a,1,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", "" \\n"", ""<waita>@""]",<partner>,"What? Is this
possibly a
birthday gift?
…Thanks, I
guess…I don't
really…"
25,0x10d90a,0x10d966,1,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<waita>@""]",<partner>,"A birthday gift
is not about
quantity, so
I don't need
anymore <player>.
Thanks anyway."
26,0x10d966,0x10d9aa,1,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""100G001@""]",<partner>,"Hey <player>!
Nice day, huh?
<noname><name>0 What's up?
 You're weird.<ask>"
27,0x10d9aa,0x10da2d,1,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", "" \\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""100G001@""]",<partner>,"Alright!
Another busy day
tomorrow! …
Ouch…! Hmmmm!
Nothing. Don't
worry.
<noname><name>0 You're hurt.
 You're limping.<ask>"
28,0x10da2d,0x10daba,1,"[""\\n"", ""<arrow>0<waita><clear>"", "" \\n"", ""<arrow>0<waita><clear>"", ""\\n"", "" <arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<waita>@""]",<partner>,"Huh? Oh, I
already treated
it… I didn't
mean to make you
worry… Sorry
<player>! I don't
think I can work
for the next 10
days…
"
29,0x10daba,0x10dad5,1,"[""\\n"", ""<waita>@""]",<partner>,"I'll be fine…
Sorry <player>."
30,0x10dad5,0x10db53,1,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", "" <arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""100G001@""]",<partner>,"…Uh <player>?
I know it was my
idea to set a
goal, but don't
you think it's
too hard?
<noname><name>0 Not at all.
 Maybe…<ask>"
31,0x10db53,0x10dbe3,1,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""100G001@""]",<partner>,"I was wondering
why is it you
work so hard…
Is it because
you want to make
Harry's dream
come true?

<noname><name>0 No…
 Of course!<ask>"
32,0x10dbe3,0x10dc62,1,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""100G001@""]",<partner>,"Right? But you
work so hard…
Is that because
you want to make
Harry's dream
come true?
<noname><name>0 No…
 Of course!<ask>"
33,0x10dc62,0x10dcb5,1,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""100G001@""]",<partner>,"Then why are you
working so hard?
<noname><name>0 I just want to.
 I don't know.<ask>"
34,0x10dcb5,0x10dd19,1,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""100G001@""]",<partner>,"…That's all?
You are making
me work only for
that reason?
<noname><name>0 Making you…?
 Sorry…<ask>"
