i,address,name_i,newline_types,name,string
0,0x1f1679,1,"['\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', ' \\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '100G001@']",<partner>,"Ah <player>…
I don't think
Dad's dream will
come true like
this… So, I
decided to set
a goal. Let's
try to have
more than three
of each animal
and ship over
300 crops by the
end of next
Winter. I want
you to help me.

<noname><name:0> OK! I'm ready.
 No way.<ask>"
1,0x1f1790,1,"['\\n', '<arrow>0<waita><clear>', '\\n', '<waita>@']",<partner>,"Really? You'll
help me? Thanks
<player>! Let's work
hard together!"
2,0x1f17d4,1,"['\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '100G001@']",<partner>,"No? I like
having a clear
goal. Please
<player>, help me.
<noname><name:0> OK, I'll try.
 No way.<ask>"
3,0x1f1835,1,"['\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<waita>@']",<partner>,"Together we can
make anything
possible. Ha ha.
Dad used to say
that a lot.
Thanks <player>!"
4,0x1f1893,1,"['\\n', '<arrow>0<waita><clear>', '\\n', '<waita>@']",<partner>,"Why can't you at
least try? …
I'm going out…
"
5,0x1f18c9,1,"['\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '100G001@']",<partner>,"Umm…<player>…I
don't know…
there is someー
thing wrong with
me… I made a
silly mistake…
Is it impossible
for me to make
Dad's dream come
true…?
<noname><name:0> Just a dream?
 Yeah, I guess.<ask>"
6,0x1f198f,1,"['\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<waita>@']",<partner>,"It's not just a
dream…
Together we can
make anything
possible. Yes,
I shouldn't be
depressed over
little things
like this. Thank
you <player>."
7,0x1f1a29,1,"['\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', ' \\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<waita>@']",<partner>,"What? Are you
saying I'm inー
capable? You've
worked on a farm
before, but…
I…I'm trying
my best! I don't
need you to feel
sorry for me!!!
Can't you be
a little nicer?
…Sorry <player>.
I want to be
alone right now."
8,0x1f1b14,1,"['\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '100G001@']",<partner>,"Hi <player>.
I'm so hungry!
How about you?
… … … …
… … What?

<noname><name:0> I'm sorry…
 ……<ask>"
9,0x1f1b73,1,"['\\n', '<arrow>0<waita><clear>', '\\n', '<waita>@']",<partner>,"…It's OK.
Let's get to
work now!
"
10,0x1f1b9d,1,"['\\n', '<waita>@']",<partner>,"… … … …
… … … …"
11,0x1f1bb0,1,"['\\n', '<waita>@']",<partner>,"Uhh…<player>? Huh?
Oh, nothing…"
12,0x1f1bcd,1,"['\\n', '<waita>@']",<partner>,"Uhh… I…
Nevermind…"
13,0x1f1be3,1,"['\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<waita>@']",<partner>,"Your dad wrote
me a letter… I
found it in the
chest… 'Live
for your dream!'
… I feel kind
of lonely… …
Hee hee. You're
here with me, so
I'm not really
lonely …but…
Ha ha ha.
OK! Another busy
day tomorrow!"
14,0x1f1cca,1,"['\\n', '<waita>@']",<partner>,"Eeeck! <player>?
What was that?"
15,0x1f1ce6,1,"['\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<fc>e@']",<partner>,"Kyaaaaaaaa!!!
I'm scared of
the dark… Umm,
please don't go
anywhere <player>!
"
16,0x1f1d3b,1,"['\\n', '<arrow>0<waita><clear>', '\\n', '<waita>@']",<partner>,"…Is the
electricity
back? Thanks
<player>…"
17,0x1f1d65,1,"['\\n', '<waita>@']",<partner>,"Wa…Wait <player>.
Where are you?<arrow>0"
18,0x1f1d84,1,"['\\n', ' <arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<waita>@']",<partner>,"… … … …
Oh, the
electricity is
back… I asked
you not to go
anywhere… I
was so scared…
"
19,0x1f1de9,1,"['\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<waita>@']",<partner>,"What date is
it today?
<var>4 <var>C?
It's by birthー
day today!!
"
20,0x1f1e2d,1,"['\\n', '<arrow>0<waita><clear>', '\\n', '<waita>@']",<partner>,"Is this a
birthday gift?
Thanks <player>!
Yeah! I'm happy."
21,0x1f1e68,1,"['\\n', '<arrow>0<waita><clear>', '\\n', '<waita>@']",<partner>,"What the…? A
birthday gift?
…Thanks, I
guess…"
22,0x1f1e9d,1,"['\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<waita>@']",<partner>,"A birthday gift
is not about
quantity, so
I don't need
anymore <player>.
Thanks anyway."
23,0x1f1ef9,1,"['\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '<arrow>0<waita><clear>', '\\n', '100G001@']",<partner>,"<player>? Do you
want to go
somewhere with a
real pretty
view?
<noname><name:0> OK. Where?
 I'm tired…<ask>"
