i,address,name_i,newline_types,name,string
0,0x12daa0,15,"['\\n', '<waita>@']",Lucus,"Oh! Are you
sure? Thanks!"
1,0x12dabd,15,"['\\n', '<waita>@']",Lucus,"Is this for me?
You're nice."
2,0x12dabd,15,"['\\n', '<waita>@']",Lucus,"Is this for me?
You're nice."
3,0x12dade,15,"['\\n', '<waita>@']",,"I don't need
this…"
4,0x12daf3,14,"['\\n', '<waita>@']",Lyla,"Thank you. You
are so kind!"
5,0x12db12,14,"['\\n', '<waita>@']",Lyla,"Is this for me?
Thank you!"
6,0x12db12,14,"['\\n', '<waita>@']",Lyla,"Is this for me?
Thank you!"
7,0x12db30,14,"['\\n', '<arrow>0<waita><clear>', '\\n', '<waita>@']",Lyla,"… What's this?
Are you trying
to annoy me?
"
8,0x12db63,15,"['\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<waita>@']",Lucus,"Hey, how are ya?
You must be a
new comer. I'm
Lucus the tool
guy. So…You're
working on the
farm, huh? I've
got lots of
useful tools
here. Take a
look around
<player>!!"
9,0x12db63,15,"['\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<waita>@']",Lucus,"Hey, how are ya?
You must be a
new comer. I'm
Lucus the tool
guy. So…You're
working on the
farm, huh? I've
got lots of
useful tools
here. Take a
look around
<player>!!"
10,0x12db63,15,"['\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<waita>@']",Lucus,"Hey, how are ya?
You must be a
new comer. I'm
Lucus the tool
guy. So…You're
working on the
farm, huh? I've
got lots of
useful tools
here. Take a
look around
<player>!!"
11,0x12db63,15,"['\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<waita>@']",Lucus,"Hey, how are ya?
You must be a
new comer. I'm
Lucus the tool
guy. So…You're
working on the
farm, huh? I've
got lots of
useful tools
here. Take a
look around
<player>!!"
