i,address,end,name_i,newlines,name,string
0,0xb8113,0xb8130,4,"[""\\n"", ""<waita>@""]",,"Ha ha ha…
Nice day, huh?"
1,0xb8130,0xb814a,5,"[""\\n"", ""<waita>@""]",,"Hey, <player>!
Working hard?"
2,0xb814a,0xb815f,8,"[""\\n"", ""<waita>@""]",,"Oh, <player>.
Busy day?"
3,0xb815f,0xb8177,9,"[""\\n"", ""<waita>@""]",,"Hello, <player>.
Nice day."
4,0xb8177,0xb81db,10,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""10GT000@""]",,"Hello, <player>.
The ferry can
take you to the
mainland.
Take the ferry?
 Yes          No<ask>"
5,0xb81db,0xb8209,11,"[""\\n"", ""<arrow>0<waita><clear>"", ""<waita>@""]",,"Hello, <player>.
It's nice and
warm outside."
6,0xb8209,0xb8222,4,"[""\\n"", ""<waita>@""]",,"It's getting
colder…"
7,0xb8222,0xb8258,5,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<waita>@""]",,"It's time to
get ready to
go fishing
tomorrow."
8,0xb8258,0xb826f,8,"[""\\n"", ""<waita>@""]",,"It was a nice
day!!"
9,0xb826f,0xb828e,9,"[""\\n"", ""<waita>@""]",,"We can see the
sunset soon."
10,0xb828e,0xb8300,10,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""10GT000@""]",,"Do you want to
take the ferry?
The last
departure is at
6PM.

Take the ferry?
 Yes          No<ask>"
11,0xb8300,0xb833a,11,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<waita>@""]",,"Can we see a
pretty sunset
like this in a
big city?"
12,0xb833a,0xb836b,4,"[""\\n"", ""<arrow>0<waita><clear>"", ""<waita>@""]",,"<player>… Isn't it
time to go back
to your farm?"
13,0xb836b,0xb8383,5,"[""\\n"", ""<waita>@""]",,"It's late.
Go home."
14,0xb8383,0xb83c5,8,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<waita>@""]",,"I heard you have
to get up early
every morning.
Are you OK?"
15,0xb83c5,0xb83de,9,"[""\\n"", ""<waita>@""]",,"<player>? It's
really late."
16,0xb83de,0xb844f,10,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""<waita>@""]",,"<player>. The ferry
hours are over.
It's dangerous
to sail at
night, so I
can't take you
across the sea."
17,0xb844f,0xb8469,11,"[""\\n"", ""<waita>@""]",,"Oh, <player>?
It's so late."
18,0xb8469,0xb8496,4,"[""\\n"", ""<arrow>0<waita><clear>"", ""<waita>@""]",,"Is this from
your farm? Thank
you, <player>."
