i,address,end,name_i,newlines,name,string,translation
0,0x1e474a,0x1e475b,,"[""@""]",,,
1,0x1e475b,0x1e476c,,"[""\\n""]",,"
",
2,0x1e475b,0x1e476c,,"[""\\n""]",,"
",
3,0x1e475b,0x1e476c,,"[""\\n""]",,"
",
4,0x1e476c,0x1e477b,,"[""@""]",,"",""
5,0x1e476c,0x1e477b,,"[""@""]",,"",""
6,0x1e476c,0x1e477b,,"[""@""]",,"",""
7,0x1e476c,0x1e477b,,"[""@""]",,"",""
8,0x1e476c,0x1e477b,,"[""@""]",,"",""
9,0x1e476c,0x1e477b,,"[""@""]",,"",""
10,0x1e476c,0x1e477b,,"[""@""]",,"",""
11,0x1e476c,0x1e477b,,"[""@""]",,"",""
12,0x1e476c,0x1e477b,,"[""@""]",,"",""
13,0x1e477b,0x1e477c,,"[""@""]",,,
14,0x1e477b,0x1e477c,,"[""@""]",,,
15,0x1e477b,0x1e477c,,"[""@""]",,,
16,0x1e477b,0x1e477c,,"[""@""]",,,
17,0x1e477b,0x1e477c,,"[""@""]",,,
18,0x1e477b,0x1e477c,,"[""@""]",,,
19,0x1e477b,0x1e477c,,"[""@""]",,,
20,0x1e477b,0x1e477c,,"[""@""]",,,
21,0x1e477b,0x1e477c,,"[""@""]",,,
22,0x1e477b,0x1e477c,,"[""@""]",,,
23,0x1e477b,0x1e477c,,"[""@""]",,,
24,0x1e477b,0x1e477c,,"[""@""]",,,
25,0x1e477b,0x1e477c,,"[""@""]",,,
26,0x1e477b,0x1e477c,,"[""@""]",,,
27,0x1e477b,0x1e477c,,"[""@""]",,,
28,0x1e477b,0x1e477c,,"[""@""]",,,
29,0x1e477b,0x1e477c,,"[""@""]",,,
30,0x1e477c,0x1e4781,,"[""@""]",,Hand,Hand
31,0x1e477c,0x1e4781,,"[""@""]",,Hand,Hand
32,0x1e477c,0x1e4781,,"[""@""]",,Hand,Hand
33,0x1e477c,0x1e4781,,"[""@""]",,Hand,Hand
34,0x1e477c,0x1e4781,,"[""@""]",,Hand,Hand
35,0x1e477c,0x1e4781,,"[""@""]",,Hand,Hand
36,0x1e477c,0x1e4781,,"[""@""]",,Hand,Hand
37,0x1e477c,0x1e4781,,"[""@""]",,Hand,Hand
38,0x1e477c,0x1e4781,,"[""@""]",,Hand,Hand
39,0x1e477c,0x1e4781,,"[""@""]",,Hand,Hand
40,0x1e477c,0x1e4781,,"[""@""]",,Hand,Hand
41,0x1e477c,0x1e4781,,"[""@""]",,Hand,Hand
42,0x1e477c,0x1e4781,,"[""@""]",,Hand,Hand
43,0x1e477c,0x1e4781,,"[""@""]",,Hand,Hand
44,0x1e477c,0x1e4781,,"[""@""]",,Hand,Hand
45,0x1e477c,0x1e4781,,"[""@""]",,Hand,Hand
46,0x1e477c,0x1e4781,,"[""@""]",,Hand,Hand
47,0x1e477c,0x1e4781,,"[""@""]",,Hand,Hand
48,0x1e477c,0x1e4781,,"[""@""]",,Hand,Hand
49,0x1e477c,0x1e4781,,"[""@""]",,Hand,Hand
50,0x1e477c,0x1e4781,,"[""@""]",,Hand,Hand
51,0x1e477c,0x1e4781,,"[""@""]",,Hand,Hand
52,0x1e477c,0x1e4781,,"[""@""]",,Hand,Hand
53,0x1e477c,0x1e4781,,"[""@""]",,Hand,Hand
54,0x1e477c,0x1e4781,,"[""@""]",,Hand,Hand
55,0x1e477c,0x1e4781,,"[""@""]",,Hand,Hand
