i,address,end,name_i,newlines,name,string
0,0x5c031,0x5c037,,"[""\\n"", ""@""]",,"
Farm"
1,0x5c037,0x5c042,,"[""\\n"", ""@""]",,"
Mountains"
2,0x5c042,0x5c04d,,"[""\\n"", ""@""]",,"
Grassland"
3,0x5c04d,0x5c055,,"[""\\n"", ""@""]",,"
Forest"
4,0x5c055,0x5c05e,,"[""\\n"", ""@""]",,"
Village"
5,0x5c05e,0x5c065,,"[""\\n"", ""@""]",,"
Woods"
6,0x5c065,0x5c06c,,"[""\\n"", ""@""]",,"
Cliff"
7,0x5c06c,0x5c089,,"[""\\n"", ""@""]",,"Bad weather,
better not go!"
8,0x5c089,0x5c098,,"[""\\n"", ""@""]",,"
Mainland Port"
9,0x5c098,0x5c0a9,,"[""\\n"", ""@""]",,"
Farmers' Union"
10,0x5c0a9,0x5c0b8,,"[""\\n"", ""@""]",,"
Shopping Mall"
11,0x5c0b8,0x5c0c1,,"[""\\n"", ""@""]",,"
Theater"
12,0x5c0c1,0x5c0cb,,"[""\\n"", ""@""]",,"
Aquarium"
13,0x5c0cb,0x5c0e6,,"[""\\n"", ""@""]",,"All businesses
are closed."
14,0x5c0e6,0x5c0f6,,"[""<waita>@""]",,We're closed.
