i,address,end,name_i,newlines,name,string,translation
0,-0xd400,-0x1,,[],,,
1,-0xd410,-0x1,,[],,,
2,-0xd41d,-0x1,,[],,,
3,-0xd424,-0x1,,[],,,
4,0x1280e1,0x1280e7,,"[""@""]",,Elder,Ältester
5,0x1280e7,0x1280ed,,"[""@""]",,Billy,Billy
6,0x1280ed,0x1280f1,,"[""@""]",,Joe,Joe
7,0x1280f1,0x1280f7,,"[""@""]",,Chloe,Chloe
8,0x1280f7,0x1280fc,,"[""@""]",,Elza,Elza
9,0x1280fc,0x128103,,"[""@""]",,Bigbee,Bigbee
10,0x128103,0x128108,,"[""@""]",,Kirk,Kirk
11,0x128108,0x12810d,,"[""@""]",,Kate,Kate
12,0x12810d,0x128113,,"[""@""]",,Marla,Marla
13,0x128113,0x128119,,"[""@""]",,Lukia,Lukia
14,0x128119,0x12811e,,"[""@""]",,Lyla,Lyla
15,0x12811e,0x128124,,"[""@""]",,Lucus,Lucas
16,0x128124,0x128129,,"[""@""]",,Cozy,Cozy
17,0x128129,0x12812f,,"[""@""]",,Rosie,Rosie
18,0x12812f,0x128135,,"[""@""]",,Choco,Chocola
19,0x128135,0x12813b,,"[""@""]",,Daisy,Daisy
20,0x12813b,0x128140,,"[""@""]",,Chet,Chet
21,0x128140,0x128145,,"[""@""]",,Cain,Cain
22,0x128145,0x12814a,,"[""@""]",,Will,Will
23,0x12814a,0x12814f,,"[""@""]",,Bill,Bill
24,0x12814f,0x128154,,"[""@""]",,Mary,Mary
25,0x128154,0x12815a,,"[""@""]",,Heinz,Heinz
26,0x12815a,0x128160,,"[""@""]",,Harry,Harry
27,0x128160,0x128165,,"[""@""]",,Hans,Hans
28,0x128165,0x12816a,,"[""@""]",,Lisa,Lisa
29,0x12816a,0x12816f,,"[""@""]",,Blue,Blau
30,0x12816f,0x128174,,"[""@""]",,Pink,Pink
31,0x128174,0x12817a,,"[""@""]",,Brown,Braun
32,0x12817a,0x128181,,"[""@""]",,Mr.One,"Hr. Eins"
33,0x128181,0x128186,,"[""@""]",,Polo,Polo
34,0x128186,0x12818b,,"[""@""]",,Meow,Miau
35,0x12818b,0x128192,,"[""@""]",,Kojima,Kojima
36,0x128192,0x128198,,"[""@""]",,Otose,Otose
37,0x128198,0x12819f,,"[""@""]",,"2 guys","2 Typen"
38,0x12819f,0x1281a3,,"[""@""]",,Gen,Gen
39,0x1281a3,0x1281a8,,"[""@""]",,Isha,Isha
40,0x1281a8,0x1281ae,,"[""@""]",,Nancy,Nancy
